"","Title","Year.gschol","source.gschol","Abstract.gschol","Year.pubmed","source.pubmed","Year.webos","source.webos","Abstract.webos"
"509","Estimating effect sizes from pretest-posttest-control group designs",NA,NA,NA,NA,NA,2008,"Web of Science","Previous research has recommended several measures of effect size for studies with repeated measurements in both treatment and control groups. Three alternate effect size estimates were compared in terms of bias, precision, and robustness to heterogeneity of variance. The results favored an effect size based on the mean pre-post change in the treatment group minus the mean pre-post change in the control group, divided by the pooled pretest standard deviation."
"510","Estimating Effects with Rare Outcomes and High Dimensional Covariates: Knowledge is Power",NA,NA,NA,2016,"PubMed",NA,NA,NA
"511","Estimating Firm Size Elasticities of Product and Process R&D",NA,NA,NA,NA,NA,2010,"Web of Science","This paper provides an empirical test of the particular product life-cycle hypothesis which postulates that the firm size elasticity of process R&D exceeds the firm size elasticity of product R&D. Panel data on German manufacturing firms is used which is affected by attrition and sample selection. An inverse probability weighted generalized empirical likelihood (GEL) estimator is proposed, which corrects for the selectivity bias under the identifying assumption of conditionally independent selection and benefits from the superior small sample bias properties of GEL compared to generalized method of moments (GMM). The product life-cycle hypothesis is clearly rejected in all specifications."
"512","Estimating marginal causal effects in a secondary analysis of case-control data",NA,NA,NA,2017,"PubMed",2017,"Web of Science","When an initial case-control study is performed, data can be used in a secondary analysis to evaluate the effect of the case-defining event on later outcomes. In this paper, we study the example in which the role of the event is changed from a response variable to a treatment of interest. If the aim is to estimate marginal effects, such as average effects in the population, the sampling scheme needs to be adjusted for. We study estimators of the average effect of the treatment in a secondary analysis of matched and unmatched case-control data where the probability of being a case is known. For a general class of estimators, we show the components of the bias resulting from ignoring the sampling scheme and demonstrate a design-weighted matching estimator of the average causal effect. In simulations, the finite sample properties of the design-weighted matching estimator are studied. Using a Swedish diabetes incidence register with a matched case-control design, we study the effect of childhood onset diabetes on the use of antidepressant medication as an adult. Copyright (c) 2017 John Wiley & Sons, Ltd."
"513","Estimating real-world treatment effects in the presence of measurement error and sparse outcome data using propensity score methods",NA,NA,NA,NA,NA,2026,"Web of Science","Introduction The real-world treatment effect of a novel treatment can be estimated by analysing routinely collected patient data, in the form of Electronic Health Records (EHR). Any treatment allocation in EHR is not randomised and there may be systematic differences between the treatment groups. Propensity Score (PS) methods are commonly used to correct for these differences and reduce the bias in the treatment effect estimate. The aims of the study were to compare the performance of the most popular PS methods in the estimation of the treatment effect in the presence of two common issues in EHRs: covariate measurement error and sparse data.Methods The motivational example for this study was the assessment of the treatment effect of the novel oral anti-coagulant Rivaroxaban compared with the previous standard treatment Warfarin for the prevention of future stroke in patients with atrial fibrillation. Using simulation experiments based on a dataset comparing Rivaroxaban with Warfarin, we evaluated the performance of four PS methods.Results In the simulations with characteristics of the original dataset, using 3:1 PS matching generated a largest bias of +0.0428 (corresponding ratio of HRs (rHR) 1.0437), whereas for the other PS methods it was smaller and in negative direction: IPTW for ATE -0.0181 (rHR = 0.9821); IPTW for ATT -0.0110 (rHR = 0.9891); PS stratification -0.0099 (rHR = 0.9901), with relative differences between rHRs being small to negligible. Fifty percent under-recording of a covariate (stroke) in the PS model, increased the MSE between 6% and 11% compared to the MSE with no introduced measurement error. While 50% over-recording reduced the MSE by around 35%. The difference in the bias of the low prevalence outcome (0.5%) and the high prevalence outcome (10%) was: IPTW for ATE 0.1514 (rHRs = 1.1635); IPTW for ATT 0.0160 (rHRs = 1.0161); 3:1 PS matching 0.0758 (rHRs = 1.0787); PS Stratification 0.0177 (rHRs = 1.0179). A similar pattern for outcome prevalence was seen for all the simulation scenarios.Conclusion This study showed that PS methods proposed in the literature may not all perform well for individual datasets. The findings produced recommendations for using PS methods in the estimation of real-world treatment effect when the covariate measurement error and sparse outcome data are present."
"514","Estimating the agreement and diagnostic accuracy of two diagnostic tests when one test is conducted on only a subsample of specimens",NA,NA,NA,2012,"PubMed",NA,NA,NA
"515","Estimating the effect of treatment on binary outcomes using full matching on the propensity score",NA,NA,NA,NA,NA,2017,"Web of Science","Many non-experimental studies use propensity-score methods to estimate causal effects by balancing treatment and control groups on a set of observed baseline covariates. Full matching on the propensity score has emerged as a particularly effective and flexible method for utilizing all available data, and creating well-balanced treatment and comparison groups. However, full matching has been used infrequently with binary outcomes, and relatively little work has investigated the performance of full matching when estimating effects on binary outcomes. This paper describes methods that can be used for estimating the effect of treatment on binary outcomes when using full matching. It then used Monte Carlo simulations to evaluate the performance of these methods based on full matching (with and without a caliper), and compared their performance with that of nearest neighbour matching (with and without a caliper) and inverse probability of treatment weighting. The simulations varied the prevalence of the treatment and the strength of association between the covariates and treatment assignment. Results indicated that all of the approaches work well when the strength of confounding is relatively weak. With stronger confounding, the relative performance of the methods varies, with nearest neighbour matching with a caliper showing consistently good performance across a wide range of settings. We illustrate the approaches using a study estimating the effect of inpatient smoking cessation counselling on survival following hospitalization for a heart attack."
"516","Estimating the odds ratio when exposure has a limit of detection",NA,NA,NA,NA,NA,2009,"Web of Science","Methods We calculate the odds of anti-HIV therapy naivete in 45 HIV-infected men as a function of measured log(10) plasma HIV RNA viral load using five approaches including ad hoc methods as well as a maximum likelihood estimate (MLE). We also generated simulations of a binary outcome with 10% incidence and a 1.5-fold increased odds per log increase in a log-normally distributed exposure with 25, 50 and 75% of exposure data below LOD. Simulated data were analysed using the same five methods, as well as the full data. Results In the example, the estimated odds ratio (OR) varied by 1.22-fold across methods, from 1.45 to 1.77 per log(10) copies of viral load and the standard error for the log OR varied by 1.52-fold across methods, from 0.31 to 0.47. In the simulations, use of full data or the MLE was unbiased with appropriate confidence interval (CI) coverage. However, as the proportion of exposure below LOD increased, substituting LOD, LOD/root 2 or LOD/2 was increasingly biased with increasingly inappropriate CI coverage. Finally, exclusion of values below LOD was unbiased but imprecise. Conclusions In this example and the settings explored by simulation, and among methods readily available to investigators (i.e. sans full data), the MLE provided an unbiased and appropriately precise estimate of the exposure-outcome OR."
"517","Estimating weighted quantile treatment effects with missing outcome data by double sampling",NA,NA,NA,2025,"PubMed",2025,"Web of Science","Causal weighted quantile treatment effects (WQTEs) complement standard mean-focused causal contrasts when interest lies at the tails of the counterfactual distribution. However, existing methods for estimating and inferring causal WQTEs assume complete data on all relevant factors, which is often not the case in practice, particularly when the data are not collected for research purposes, such as electronic health records (EHRs) and disease registries. Furthermore, these data may be particularly susceptible to the outcome data being missing-not-at-random (MNAR). This paper proposes to use double sampling, through which the otherwise missing data are ascertained on a sub-sample of study units, as a strategy to mitigate bias due to MNAR data in estimating causal WQTEs. With the additional data, we present identifying conditions that do not require missingness assumptions in the original data. We then propose a novel inverse-probability weighted estimator and derive its asymptotic properties, both pointwise at specific quantiles and uniformly across quantiles over some compact subset of (0,1), allowing the propensity score and double-sampling probabilities to be estimated. For practical inference, we develop a bootstrap method that can be used for both pointwise and uniform inference. A simulation study is conducted to examine the finite sample performance of the proposed estimators. We illustrate the proposed method using EHR data examining the relative effects of 2 bariatric surgery procedures on BMI loss 3 years post-surgery."
"518","Estimation and Hypothesis Testing of Strain-Specific Vaccine Efficacy With Missing Strain Types With Application to a COVID-19 Vaccine Trial",NA,NA,NA,2025,"PubMed",NA,NA,NA
"519","Estimation and Validation of a Class of Conditional Average Treatment Effects Using Observational Data",2019,"Google Scholar","… The small sample size of trials is one of the biggest obstacles … of the resulting estimator under the correct propensity score … bias and the coverage level of 95% confidence interval in …",NA,NA,NA,NA,NA
"520","Estimation and validation of ratio-based conditional average treatment effects using observational data",2021,"Google Scholar","… The small sample size of trials is one of the biggest obstacles … for fitting the outcome and propensity score models in our method. … still providing accurate confidence interval coverage. To …",NA,NA,NA,NA,NA
"521","Estimation for Volunteer Panel Web Surveys Using Propensity Score Adjustment and Calibration Adjustment",NA,NA,NA,NA,NA,2009,"Web of Science","A combination of propensity score and calibration adjustment is shown to reduce bias in volunteer panel Web surveys. In this combination, the design weights are adjusted by propensity scores to correct for selection bias due to nonrandomized sampling. These adjusted weights are then calibrated to control totals for the target population and correct for coverage bias. The final set of weights is comprised of multiple components, and the estimator of a total no longer takes a linear form. Therefore, approximate methods are needed to derive variance estimates. This study compares three variance estimation methods through simulation. The first method resembles what is used in commercial statistical software based on squared residuals. The second approach uses a variance estimator originally derived for the generalized regression estimator. The third method uses jackknife replication. Results indicate bias reduction is crucial for valid variance estimation and favor the replication method over the other approaches."
"522","Estimation of a secondary parameter in a group sequential clinical trial",NA,NA,NA,NA,NA,2001,"Web of Science","In this article, we investigate estimation of a secondary parameter in group sequential tests. We study the model in which the secondary parameter is the mean of the normal distribution in a subgroup of the subjects. The bias of the naive secondary parameter estimator is studied. It is shown that the sampling proportions of the subgroup have a crucial effect on the bias: As the sampling proportion of the subgroup at or just before the stopping time increases, the bias of the naive subgroup parameter estimator increases as well. An unbiased estimator for the subgroup parameter and an unbiased estimator for its variance are derived. Using simulations: we compare the mean squared error of the unbiased estimator to that of the naive estimator, and we show that the differences are negligible. As an example, the methods of estimation are applied to an actual group sequential clinical trial. The Beta-Blocker Heart Attack Trial."
"523","Estimation of causal effects of multiple treatments in observational studies with a binary outcome",2020,"Google Scholar","… in contrast to propensity score matching and subclassification, … confidence interval coverage among all propensity score … The relatively small sample size (400) in the first group—which …",NA,NA,NA,NA,NA
"524","Estimation of conditional and marginal odds ratios using the prognostic score",NA,NA,NA,NA,NA,2017,"Web of Science","Introduced by Hansen in 2008, the prognostic score (PGS) has been presented as 'the prognostic analogue of the propensity score' (PPS). PPS-based methods are intended to estimate marginal effects. Most previous studies evaluated the performance of existing PGS-based methods (adjustment, stratification and matching using the PGS) in situations in which the theoretical conditional and marginal effects are equal (i.e., collapsible situations). To support the use of PGS framework as an alternative to the PPS framework, applied researchers must have reliable information about the type of treatment effect estimated by each method. We propose four new PGS-based methods, each developed to estimate a specific type of treatment effect. We evaluated the ability of existing and new PGS-based methods to estimate the conditional treatment effect (CTE), the (marginal) average treatment effect on the whole population (ATE), and the (marginal) average treatment effect on the treated population (ATT), when the odds ratio (a non-collapsible estimator) is the measure of interest. The performance of PGS-based methods was assessed by Monte Carlo simulations and compared with PPS-based methods and multivariate regression analysis. Existing PGS-based methods did not allow for estimating the ATE and showed unacceptable performance when the proportion of exposed subjects was large. When estimating marginal effects, PPS-based methods were too conservative, whereas the new PGS-based methods performed better with low prevalence of exposure, and had coverages closer to the nominal value. When estimating CTE, the new PGS-based methods performed as well as traditional multivariate regression. Copyright (C) 2016 John Wiley & Sons, Ltd."
"525","Estimation of heterogeneity variance based on a generalized Q statistic in meta-analysis of log-odds-ratio",NA,NA,NA,NA,NA,2023,"Web of Science","For estimation of heterogeneity variance t(2) in meta-analysis of log-odds-ratio, we derive new mean-and median-unbiased point estimators and new interval estimators based on a generalized Q statistic, Q(F), in which the weights depend on only the studies' effective sample sizes. We compare them with familiar estimators based on the inverse-variance-weights version of Q, Q(IV). In an extensive simulation, we studied the bias (including median bias) of the point estimators and the coverage (including left and right coverage error) of the confidence intervals. Most estimators add 0.5 to each cell of the 2 x 2 table when one cell contains a zero count; we include a version that always adds 0.5. The results show that: two of the new point estimators and two of the familiar point estimators are almost unbiased when the total sample size n = 250 and the probability in the Control arm (p(iC)) is 0.1, and when n = 100 and p(iC) is 0.2 or 0.5; for 0.1 = t(2) = 1, all estimators have negative bias for small to medium sample sizes, but for larger sample sizes some of the new median-unbiased estimators are almost median-unbiased; choices of interval estimators depend on values of parameters, but one of the new estimators is reasonable when p(iC) = 0.1 and another, when p(iC) = 0.2 or p(iC) = 0.5; and lack of balance between left and right coverage errors for small n and/or p(iC) implies that the available approximations for the distributions of Q(IV) and Q(F) are accurate only for larger sample sizes."
"526","Estimation of high-dimensional propensity scores with multiple exposure levels",NA,NA,NA,NA,NA,2020,"Web of Science","Purpose Little information is available on the performance of high-dimensional propensity scores (HDPS) in settings with more than two exposure levels. Our objective was to adapt the HDPS algorithm to allow for the inclusion of multilevel treatments and compare estimates obtained via this approach with those obtained via pairwise comparisons in a case study using real-world data. Methods We conducted a retrospective cohort study of cardiovascular events associated with three smoking cessation drugs (varenicline, bupropion, nicotine replacement therapy [NRT]) using the Clinical Practice Research Datalink. We applied the binary HDPS algorithm adjusted for pre-specified and empirically-selected covariates to cohorts formed by each treatment pair. We then constructed multinomial HDPS models on a cohort of new users of any of the three drugs, adjusting for predefined covariates and different combinations of empirically-selected covariates. After trimming the area of non-overlap of the HDPS distributions, the effects of the study drugs on cardiovascular events were estimated with the Cox proportional hazards models adjusted for propensity score category. Results Outcome models adjusted for multinomial HDPS estimated treatment effects that were slightly more protective than those estimated in pairwise comparisons (varenicline vs NRT: HRMultinomial = 0.60-0.62, HRPairwise = 0.64; bupropion vs NRT: HRMultinomial = 0.70-0.72, HRPairwise = 0.76). Trimming rates were similar between the two approaches. Conclusions The extension of HDPS to multilevel exposures is a valid and practical approach to confounder control that may be useful when comparing different classes of drugs prescribed for the same indication or different molecules within a given drug class."
"527","ESTIMATION OF ODDS RATIOS FROM MATCHED CASE-CONTROL STUDIES WITH INCOMPLETE DATA",NA,NA,NA,NA,NA,1991,"Web of Science","Matched case-control studies often include pairs with incomplete exposure information. This work presents and compares two estimator, for the odds ratio that can be used when the exposures of some of the cases and controls are missing. A simulation study shows that the estimator that uses the marginal exposure frequencies is usually more efficient than the estimator based on discordant pairs."
"528","Estimation of P (Y < X) for the Levy distribution",NA,NA,NA,NA,NA,2016,"Web of Science","Three point estimators and two interval estimators of P (Y < X) are derived when X and Y are independent Levy random variables. Their performance with respect to relative biases, relative mean squared errors, coverage probabilities, and coverage lengths is assessed by simulation studies and a real data application."
"529","Estimation of the average treatment effect with variable selection and measurement error simultaneously addressed for potential confounders",NA,NA,NA,NA,NA,2023,"Web of Science","In the framework of causal inference, the inverse probability weighting estimation method and its variants have been commonly employed to estimate the average treatment effect. Such methods, however, are challenged by the presence of irrelevant pre-treatment variables and measurement error. Ignoring these features and naively applying the usual inverse probability weighting estimation procedures may typically yield biased inference results. In this article, we develop an inference method for estimating the average treatment effect with those features taken into account. We establish theoretical properties for the resulting estimator and carry out numerical studies to assess the finite sample performance of the proposed estimator."
"530","Estimation of the causal effects of time-varying treatments in nested case-control studies using marginal structural Cox models",NA,NA,NA,2024,"PubMed",NA,NA,NA
"531","Estimation of the volume under the receiver-operating characteristic surface adjusting for non-ignorable verification bias",2018,"Google Scholar","… and the 90% coverage rates are successfully retained. … presented and the corresponding 95% confidence interval (CI). … Additionally, with small sample size, such as 100, our simulation …",NA,NA,NA,NA,NA
"532","Estimation with missing data: beyond double robustness",NA,NA,NA,NA,NA,2013,"Web of Science","We propose an estimator that is more robust than doubly robust estimators, based on weighting complete cases using weights other than inverse probability when estimating the population mean of a response variable subject to ignorable missingness. We allow multiple models for both the propensity score and the outcome regression. Our estimator is consistent if any of the multiple models is correctly specified. Such multiple robustness against model misspecification is a significant improvement over double robustness, which allows only one propensity score model and one outcome regression model. Our estimator attains the semiparametric efficiency bound when one propensity score model and one outcome regression model are correctly specified, without requiring knowledge of which models are correct."
"533","Evaluating Heterogeneity in Treatment Effects and Economic Value of Tumor-Agnostic Drugs",2023,"Google Scholar","… effects because of the small sample size of each stratum [24]. … reporting the mean and its confidence interval. However, the … steps for trial simulation and propensity score estimation for …",NA,NA,NA,NA,NA
"534","Evaluating hybrid controls methodology in early-phase oncology trials: A simulation study based on the MORPHEUS-UC trial",NA,NA,NA,NA,NA,2024,"Web of Science","Phase Ib/II oncology trials, despite their small sample sizes, aim to provide information for optimal internal company decision-making concerning novel drug development. Hybrid controls (a combination of the current control arm and controls from one or more sources of historical trial data [HTD]) can be used to increase statistical precision. Here we assess combining two sources of Roche HTD to construct a hybrid control in targeted therapy for decision-making via an extensive simulation study. Our simulations are based on the real data of one of the experimental arms and the control arm of the MORPHEUS-UC Phase Ib/II study and two Roche HTD for atezolizumab monotherapy. We consider potential complications such as model misspecification, unmeasured confounding, different sample sizes of current treatment groups, and heterogeneity among the three trials. We evaluate two frequentist methods (with both Cox and Weibull accelerated failure time [AFT] models) and three different commensurate priors in Bayesian dynamic borrowing (with a Weibull AFT model), and modifications within each of those, when estimating the effect of treatment on survival outcomes and measures of effect such as marginal hazard ratios. We assess the performance of these methods in different settings and the potential of generalizations to supplement decisions in early-phase oncology trials. The results show that the proposed joint frequentist methods and noninformative priors within Bayesian dynamic borrowing with no adjustment on covariates are preferred, especially when treatment effects across the three trials are heterogeneous. For generalization of hybrid control methods in such settings, we recommend more simulation studies."
"535","Evaluating Kidney Transplantation for Adults with End-Stage Renal Disease",2021,"Google Scholar","… context of propensity score matching, Monte Carlo simulations have demonstrated that … not influenced by other predictors of death because of our use of propensity score matching. …",NA,NA,NA,NA,NA
"536","Evaluating large-scale propensity score performance through real-world and synthetic data experiments",NA,NA,NA,2018,"PubMed",NA,NA,NA
"537","Evaluating longitudinal markers under two-phase study designs",NA,NA,NA,2019,"PubMed",NA,NA,NA
"538","Evaluating multi-treatment programs: theory and evidence from the US Job Training Partnership Act experiment",2007,"Google Scholar","… Despite our relatively small sample sizes, our findings … Fortunately, their Monte Carlo analysis suggests that use … matching on labor force status transition cells and propensity score …",NA,NA,2007,"Web of Science","This paper considers the evaluation of programs that offer multiple treatments to their participants. Our theoretical discussion outlines the tradeoffs associated with evaluating the program as a whole versus separately evaluating the various individual treatments. Our empirical analysis considers the value of disaggregating multi-treatment programs using data from the U.S. National Job Training Partnership Act Study. This study includes both experimental data, which serve as a benchmark, and non-experimental data. The JTPA experiment divides the program into three treatment streams centered on different services. Unlike previous work that analyzes the program as a whole, we analyze the streams separately. Despite our relatively small sample sizes, our findings illustrate the potential for valuable insights into program operation and impact to get lost when aggregating treatments. In addition, we show that many of the lessons drawn from analyzing JTPA as a single treatment carry over to the individual treatment streams."
"539","Evaluating stochastic seeding strategies in networks",2022,"Google Scholar","… Monte Carlo replicates, we consider the following simulation pro… , except in the case of a rare outcome with a small sample size (… Note that the coverage of the Hájek confidence interval, …",NA,NA,NA,NA,NA
"540","Evaluating the Clinical Benefit of Carbapenem-Resistant Enterobacteriaceae Screening in a Tertiary Care Center in Saudi Arabia",NA,NA,NA,2025,"PubMed",2025,"Web of Science","Background: Limited data exist regarding the risk of infection in patients who test positive during Carbapenem-resistant Enterobacteriaceae (CRE) screening. This study evaluates the clinical impact of CRE screening on infection risk and outcomes in patients with positive screening results. Objective: Compare CRE infection rates between patients with positive and negative CRE screening results. Design: Retrospective, non-experimental descriptive cohort study. Study Setting: Conducted at King Faisal Specialist Hospital and Research Center (KFSHRC), a tertiary care center in Madinah, Saudi Arabia. Subjects and Methods: Over one year, 1070 admitted patients were screened for CRE. Propensity score matching was used to create comparable cohorts of positive and negative screening patients. The study compared the subsequent CRE infection risk, 90-day mortality, total days of hospitalization, ICU admissions, and duration of antibiotic treatment in patients who tested positive for CRE. Main Outcome Measures: CRE infection rates among patients with positive and negative screening results. Results: Propensity score matching resulted in 66 patients with positive CRE screens matched to 133 negative-screen patients. Of those who screened positive, 35% developed a confirmed CRE infection during their hospital stay, compared to 4.6% in the negative group. CRE-positive patients experienced longer hospital stays (mean 21.2 vs 14.7 days, p < 0.001), higher readmission rates (38% vs 19%, p = 0.004), and increased mortality (24% vs 11%, p = 0.019). No significant differences were noted in ICU admission rates. Conclusion: Nearly one-third of patients with positive CRE screening results were at risk of developing subsequent CRE infections. Additionally, positive CRE screening was associated with higher mortality. Limitations: Small sample size and potential selection bias due to screening being performed only in ICU-required patients, potentially skewing results toward poorer outcomes. Findings apply only to hospitalized patients."
"541","Evaluating the Effects of Standardized Patient Care Pathways on Clinical Outcomes",2015,"Google Scholar","",NA,NA,NA,NA,NA
"542","Evaluating the impacts of biological treatment in inflammatory arthritis patients with quasi-experimental study designs",2025,"Google Scholar","… -world evidence on the performance of biologics in our everyday … In addition, these RCTs have a relatively small sample size … Propensity score matching is usually used in combination …",NA,NA,NA,NA,NA
"543","Evaluating the performance of non-experimental estimators: evidence from a randomized UI program",2004,"Google Scholar","… We estimate the propensity score using a kernel-based … Simple matching and propensity score matching are … is not possible because of the small sample size for many of them. Therefore…",NA,NA,NA,NA,NA
"544","Evaluating treatment effectiveness in patient subgroups: a comparison of propensity score methods with an automated matching approach",NA,NA,NA,2012,"PubMed",2012,"Web of Science","Propensity score (Pscore) matching and inverse probability of treatment weighting (IPTW) can remove bias due to observed confounders, if the Pscore is correctly specified. Genetic Matching (GenMatch) matches on the Pscore and individual covariates using an automated search algorithm to balance covariates. This paper compares common ways of implementing Pscore matching and IPTW, with Genmatch for balancing time-constant baseline covariates}. The methods are considered when estimates of treatment effectiveness are required for patient subgroups, and the treatment allocation process differs by subgroup. We apply these methods in a prospective cohort study that estimates the effectiveness of Drotrecogin alfa activated, for subgroups of patients with severe sepsis. In a simulation study we compare the methods when the Pscore is correctly specified, and then misspecified by ignoring the subgroup-specific treatment allocation. The simulations also consider poor overlap in baseline covariates, and different sample sizes. In the case study, GenMatch reports better covariate balance than IPTW or Pscore matching. In the simulations with correctly specified Pscores, good overlap and reasonable sample sizes, all methods report minimal bias. When the Pscore is misspecified, GenMatch reports the least imbalance and bias. With small sample sizes, IPTW is the most efficient approach, but all methods report relatively high bias of treatment effects. This study shows that overall GenMatch achieves the best covariate balance for each subgroup, and is more robust to Pscore misspecification than common alternative Pscore approaches."
"545","Evaluating treatment effectiveness under model misspecification: A comparison of targeted maximum likelihood estimation with bias-corrected matching",NA,NA,NA,NA,NA,2016,"Web of Science","Statistical approaches for estimating treatment effectiveness commonly model the endpoint, or the propensity score, using parametric regressions such as generalised linear models. Misspecification of these models can lead to biased parameter estimates. We compare two approaches that combine the propensity score and the endpoint regression, and can make weaker modelling assumptions, by using machine learning approaches to estimate the regression function and the propensity score. Targeted maximum likelihood estimation is a double-robust method designed to reduce bias in the estimate of the parameter of interest. Bias-corrected matching reduces bias due to covariate imbalance between matched pairs by using regression predictions. We illustrate the methods in an evaluation of different types of hip prosthesis on the health-related quality of life of patients with osteoarthritis. We undertake a simulation study, grounded in the case study, to compare the relative bias, efficiency and confidence interval coverage of the methods. We consider data generating processes with non-linear functional form relationships, normal and non-normal endpoints. We find that across the circumstances considered, bias-corrected matching generally reported less bias, but higher variance than targeted maximum likelihood estimation. When either targeted maximum likelihood estimation or bias-corrected matching incorporated machine learning, bias was much reduced, compared to using misspecified parametric models."
"546","Evaluation of diagnostic tests for low prevalence diseases: a statistical approach for leveraging real-world data to accelerate the study",NA,NA,NA,NA,NA,2021,"Web of Science","The evaluation of diagnostic tests usually involves statistical inference for its sensitivity. As sensitivity is defined as the probability that the test result will be positive when the target condition is present, the key study design consideration of sample size is the determination of the number of subjects with the target condition such that the estimation has adequate precision, or the hypothesis testing has adequate power. Traditionally, one may rely on prospective screening of subjects to obtain the required sample size, which means that if the prevalence of the disease is very low, a large number of subjects would need to be screened, increasing the study duration and cost. In this paper, we consider the possibility of substantially reducing the length and cost of a clinical study by leveraging subjects from a real-world data (RWD) source, focusing specifically on the diagnostic test for the cancer of interest. Using the propensity score methodology, we developed a procedure which ensures that the real-world subjects being leveraged are similar to their prospectively enrolled counterparts, thereby making the leveraging more justified. The procedure allows the down-weighting of the real-world subjects, which can be achieved by either using a Frequentist's method based on the composite likelihood or a Bayesian method based on the power prior. The proposed approach can be applied to the evaluation of any diagnostic test and it is not limited to the current clinical study regarding a cancer diagnostic test. Notably, this paper is in close alignment with a recently released draft framework by the Medical Device Innovation Consortium (MDIC) on real-world clinical evidence and in vitro diagnostics, being a showcase of appropriately leveraging real-world data in diagnostic test evaluation for diseases with low prevalence to support regulatory decision-making."
"547","Evaluation of German active labour market policies and their organisational framework",2015,"Google Scholar","… Jaenichen and Stephan (2011) evaluate wage subsidies on the basis of German administrative data applying a propensity score matching approach. They show that wage subsidies …",NA,NA,NA,NA,NA
"548","Evaluation of inferential methods for the net benefit and win ratio statistics",NA,NA,NA,NA,NA,2020,"Web of Science","General Pairwise Comparison (GPC) statistics, such as the net benefit and the win ratio, have been applied in clinical trial data analysis and design. In the literature, inferential methods based on re-sampling, asymptotic or exact methods have been proposed for these GPC statistics, but they have not been compared to each other. In this paper, the small sample bias of the variance estimation, Type I error control and 95% confidence interval coverage of the GPC inferential methods are evaluated using simulations. The exact permutation and bootstrap tests perform best in all evaluated aspects for the net benefit, while the exact bootstrap test performs best for the win ratio."
"549","Evaluation of residential efficiency measures: methods for modeling end-use demands",2016,"Google Scholar","… Monte Carlo simulation of levelized cost of water. a. The … across sources via propensity score matching, the RECS model … methods in view of small sample size limitations to evaluate …",NA,NA,NA,NA,NA
"550","Evaluation of software for multiple imputation of semi-continuous data",2007,"Google Scholar","… The propensity score approach models the probability that a … , where the 95% confidence interval for the mean resource use … for multivariate data with small sample size. In Hoyle R ed. …",NA,NA,NA,NA,NA
"551","Evaluation of statistical methods for analysis of small-sample longitudinal clinical trials with dropouts",2007,"Google Scholar","… matching, propensity score, and Markov Chain Monte Carlo, … of times in which 95% confidence interval contains the true … clinical trials with relatively small sample size (ri =100) . Four …",NA,NA,NA,NA,NA
"552","Evaluation of subset matching methods and forms of covariate balance",NA,NA,NA,NA,NA,2016,"Web of Science","This paper conducts a Monte Carlo simulation study to evaluate the performance of multivariate matching methods that select a subset of treatment and control observations. The matching methods studied are the widely used nearest neighbor matching with propensity score calipers and the more recently proposed methods, optimal matching of an optimally chosen subset and optimal cardinality matching. The main findings are: (i) covariate balance, as measured by differences in means, variance ratios, Kolmogorov-Smirnov distances, and cross-match test statistics, is better with cardinality matching because by construction it satisfies balance requirements; (ii) for given levels of covariate balance, the matched samples are larger with cardinality matching than with the other methods; (iii) in terms of covariate distances, optimal subset matching performs best; (iv) treatment effect estimates from cardinality matching have lower root-mean-square errors, provided strong requirements for balance, specifically, fine balance, or strength-k balance, plus close mean balance. In standard practice, a matched sample is considered to be balanced if the absolute differences in means of the covariates across treatment groups are smaller than 0.1 standard deviations. However, the simulation results suggest that stronger forms of balance should be pursued in order to remove systematic biases due to observed covariates when a difference in means treatment effect estimator is used. In particular, if the true outcome model is additive, then marginal distributions should be balanced, and if the true outcome model is additive with interactions, then low-dimensional joints should be balanced. Copyright (C) 2016 John Wiley & Sons, Ltd."
"553","Evaluation of the propensity score methods for estimating marginal odds ratios in case of small sample size",NA,NA,NA,2012,"PubMed",NA,NA,NA
"554","Evaluation of the Propensity score methods for estimating marginal odds ratios in case of small sample size",NA,NA,NA,NA,NA,2012,"Web of Science","Background: Propensity score (PS) methods are increasingly used, even when sample sizes are small or treatments are seldom used. However, the relative performance of the two mainly recommended PS methods, namely PS-matching or inverse probability of treatment weighting (IPTW), have not been studied in the context of small sample sizes. Methods: We conducted a series of Monte Carlo simulations to evaluate the influence of sample size, prevalence of treatment exposure, and strength of the association between the variables and the outcome and/or the treatment exposure, on the performance of these two methods. Results: Decreasing the sample size from 1,000 to 40 subjects did not substantially alter the Type I error rate, and led to relative biases below 10%. The IPTW method performed better than the PS-matching down to 60 subjects. When N was set at 40, the PS matching estimators were either similarly or even less biased than the IPTW estimators. Including variables unrelated to the exposure but related to the outcome in the PS model decreased the bias and the variance as compared to models omitting such variables. Excluding the true confounder from the PS model resulted, whatever the method used, in a significantly biased estimation of treatment effect. These results were illustrated in a real dataset. Conclusion: Even in case of small study samples or low prevalence of treatment, PS-matching and IPTW can yield correct estimations of treatment effect unless the true confounders and the variables related only to the outcome are not included in the PS model."
